Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Skybeast Tracker,Skybeast Tracker,Wilds of Eldraine,185,WOE,Normal,Near Mint,English,Common,512400,7361522
1,Smell Fear,Smell Fear,Modern Horizons 2,173,MH2,Normal,Near Mint,English,Common,240435,5004331
1,Snake Umbra,Snake Umbra,Planechase Anthology,78,PCA,Normal,Near Mint,English,Common,125506,3252565
1,Snakeskin Veil,Snakeskin Veil,Strixhaven: Mystical Archives,57,STA,Normal,Near Mint,English,Uncommon,235186,4839916
1,Spellwild Ouphe,Spellwild Ouphe,Future Sight,151,FUT,Normal,Near Mint,English,Uncommon,14992,26473
1,Spider Food,Spider Food,Wilds of Eldraine,186,WOE,Normal,Near Mint,English,Common,513917,7402872
1,Spider Umbra,Spider Umbra,Ultimate Masters,184,UMA,Normal,Near Mint,English,Common,180833,3914940
1,Spined Karok,Spined Karok,Strixhaven: School of Mages,143,STX,Normal,Near Mint,English,Common,235951,4871898
1,Spidery Grasp,Spidery Grasp,Magic Game Night 2019,51,GN2,Normal,Near Mint,English,Common,201597,4259090
1,Archway Commons,Archway Commons,Strixhaven: School of Mages,263,STX,Normal,Near Mint,English,Common,235696,4860251
1,Ash Barrens,Ash Barrens,Commander Legends: Battle for Baldur's Gate,880,CLB,Normal,Near Mint,English,Uncommon,273516,5649155
3,Azorius Guildgate (243),Azorius Guildgate,Ravnica Allegiance,243,RNA,Normal,Near Mint,English,Common,182821,3928866
1,Barkchannel Pathway,Barkchannel Pathway,Kaldheim,251,KHM,Normal,Near Mint,English,Rare,229210,4691404
2,Blighted Woodland,Blighted Woodland,Commander 2020,258,C20,Normal,Near Mint,English,Uncommon,212362,4382455
1,Faerie Artisans,Faerie Artisans,The List Reprints,C16-8,LIST,Normal,Near Mint,English,Rare,513219,7381149
1,Faerie Slumber Party (Extended Art),Faerie Slumber Party,Wilds of Eldraine,371,WOE,Normal,Near Mint,English,Rare,513333,7383184
1,Filigree Attendant,Filigree Attendant,Modern Horizons 2,41,MH2,Normal,Near Mint,English,Uncommon,240041,4978865
1,Floodhound,Floodhound,Modern Horizons 2,42,MH2,Normal,Near Mint,English,Common,240206,4989255
1,Fly,Fly,Adventures in the Forgotten Realms,59,AFR,Normal,Near Mint,English,Uncommon,243221,5061400
1,Foul Watcher,Foul Watcher,Modern Horizons 2,43,MH2,Normal,Near Mint,English,Common,240386,4999661
1,Freeze in Place,Freeze in Place,Wilds of Eldraine,50,WOE,Normal,Near Mint,English,Common,512996,7376846
2,Furtive Analyst,Furtive Analyst,March of the Machine,59,MOM,Normal,Near Mint,English,Common,491746,7087903
1,Gadwick's First Duel,Gadwick's First Duel,Wilds of Eldraine,51,WOE,Normal,Near Mint,English,Uncommon,512638,7369525
1,Galvanic Giant,Galvanic Giant,Wilds of Eldraine,52,WOE,Normal,Near Mint,English,Uncommon,512864,7375001
1,"Gandalf, Friend of the Shire","Gandalf, Friend of the Shire",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,50,LTR,Normal,Near Mint,English,Uncommon,498413,7172610
1,Ghost-Lit Drifter,Ghost-Lit Drifter,Modern Horizons 2,45,MH2,Normal,Near Mint,English,Uncommon,239841,4974566
1,Gitaxian Anatomist,Gitaxian Anatomist,Phyrexia: All Will Be One,52,ONE,Normal,Near Mint,English,Common,479559,6960939
1,Gitaxian Raptor,Gitaxian Raptor,Phyrexia: All Will Be One,53,ONE,Normal,Near Mint,English,Common,479562,6961179
1,Enduring Bondwarden,Enduring Bondwarden,March of the Machine,14,MOM,Normal,Near Mint,English,Common,491328,7069510
1,Enforcer Griffin,Enforcer Griffin,War of the Spark,11,WAR,Normal,Near Mint,English,Common,188871,4006742
1,Errand-Rider of Gondor,Errand-Rider of Gondor,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,11,LTR,Normal,Near Mint,English,Common,499914,7213238
1,Escape from Orthanc,Escape from Orthanc,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,12,LTR,Normal,Near Mint,English,Common,499917,7213438
1,Fairgrounds Patrol,Fairgrounds Patrol,Modern Horizons 2,13,MH2,Normal,Near Mint,English,Common,240434,5004221
1,Family Reunion,Family Reunion,The Lost Caverns of Ixalan,13,LCI,Normal,Near Mint,English,Common,526362,7551932
2,Fiend Binder,Fiend Binder,Magic Game Night 2019,7,GN2,Normal,Near Mint,English,Common,201540,4258795
1,Folk Hero,Folk Hero,Commander Legends: Battle for Baldur's Gate,650,CLB,Foil,Near Mint,English,Mythic,273649,5653156
1,Food Coma,Food Coma,Wilds of Eldraine,308,WOE,Normal,Near Mint,English,Uncommon,513379,7386639
1,Frontline Medic,Frontline Medic,Commander 2020,89,C20,Normal,Near Mint,English,Rare,212374,4383005
1,Frostbridge Guard,Frostbridge Guard,Wilds of Eldraine,14,WOE,Normal,Near Mint,English,Common,513892,7401882
1,Galepowder Mage,Galepowder Mage,Commander Legends: Battle for Baldur's Gate,694,CLB,Normal,Near Mint,English,Rare,273688,5654871
1,Gallant Pie-Wielder,Gallant Pie-Wielder,Wilds of Eldraine,15,WOE,Normal,Near Mint,English,Uncommon,512314,7359247
1,Guardian of the Great Door,Guardian of the Great Door,The Lost Caverns of Ixalan,16,LCI,Normal,Near Mint,English,Uncommon,525280,7523405
1,Gavony Dawnguard,Gavony Dawnguard,Promo Pack: Innistrad: Midnight Hunt,387,PPMID,Normal,Near Mint,English,Promo,247942,5164538
1,Glorious Enforcer,Glorious Enforcer,Modern Horizons 2,14,MH2,Normal,Near Mint,English,Uncommon,239960,4976983
1,Fodder Tosser,Fodder Tosser,Modern Horizons 2,226,MH2,Normal,Near Mint,English,Common,240437,5004551
1,Foundry Inspector,Foundry Inspector,The Brothers' War: Retro Frame Artifacts,16,BRR,Normal,Near Mint,English,Uncommon,452407,6698011
1,Getaway Car,Getaway Car,Promo Pack: Streets of New Capenna,237p,PPSNC,Normal,Near Mint,English,Rare,270029,5568063
1,Geth's Grimoire,Geth's Grimoire,The List Reprints,DST-123,LIST,Normal,Near Mint,English,Uncommon,210395,6998773
1,Gilded Pinions,Gilded Pinions,Streets of New Capenna,238,SNC,Normal,Near Mint,English,Common,269092,5525053
1,Gingerbrute,Gingerbrute,Wilds of Eldraine,246,WOE,Normal,Near Mint,English,Common,513348,7384189
1,Madame Vastra,Madame Vastra,Universes Beyond: Doctor Who,142,WHO,Normal,Near Mint,English,Rare,519499,7462893
1,Maestros Charm (Showcase),Maestros Charm,Streets of New Capenna,317,SNC,Normal,Near Mint,English,Uncommon,267622,5481327
1,Magma Opus,Magma Opus,Strixhaven: School of Mages,203,STX,Normal,Near Mint,English,Mythic,235600,4852977
1,"Malcator, Purity Overseer","Malcator, Purity Overseer",Phyrexia: All Will Be One,208,ONE,Normal,Near Mint,English,Rare,478732,6943861
1,Maraleaf Pixie,Maraleaf Pixie,Throne of Eldraine,196,ELD,Normal,Near Mint,English,Uncommon,198369,4174950
1,Marshal of Zhalfir,Marshal of Zhalfir,March of the Machine,246,MOM,Normal,Near Mint,English,Uncommon,491194,7064325
1,Mutagen Connoisseur,Mutagen Connoisseur,March of the Machine,248,MOM,Normal,Near Mint,English,Uncommon,490633,7058522
1,Masked Bandits (Showcase),Masked Bandits,Streets of New Capenna,319,SNC,Normal,Near Mint,English,Common,268948,5518027
1,Master of Death,Master of Death,Commander: Murders at Karlov Manor,216,MKC,Normal,Near Mint,English,Rare,535743,7713898
1,"Me, the Immortal","Me, the Immortal",Universes Beyond: Doctor Who,147,WHO,Normal,Near Mint,English,Rare,519497,7462833
1,Meeting of the Five,Meeting of the Five,Streets of New Capenna,202,SNC,Normal,Near Mint,English,Mythic,269087,5524503
1,Molten Collapse,Molten Collapse,The Lost Caverns of Ixalan,234,LCI,Normal,Near Mint,English,Rare,525260,7521845
1,"Mr. Orfeo, the Boulder (Showcase)","Mr. Orfeo, the Boulder",Streets of New Capenna,320,SNC,Normal,Near Mint,English,Uncommon,268834,5512737
1,Crow of Dark Tidings,Crow of Dark Tidings,Magic Game Night 2019,28,GN2,Normal,Near Mint,English,Common,201571,4258955
1,Crushing Disappointment,Crushing Disappointment,Strixhaven: School of Mages,68,STX,Normal,Near Mint,English,Common,235849,4862575
1,Cultist of the Absolute,Cultist of the Absolute,Commander Legends: Battle for Baldur's Gate,123,CLB,Normal,Near Mint,English,Rare,272636,5604359
1,Cut of the Profits,Cut of the Profits,Streets of New Capenna,72,SNC,Normal,Near Mint,English,Rare,268365,5489166
1,Cutthroat Contender,Cutthroat Contender,Streets of New Capenna,73,SNC,Normal,Near Mint,English,Common,269075,5523183
1,Dalek Drone (Extended Art),Dalek Drone,Universes Beyond: Doctor Who,371,WHO,Normal,Near Mint,English,Rare,519794,7467313
1,Danse Macabre,Danse Macabre,Commander: Adventures in the Forgotten Realms,22,AFC,Normal,Near Mint,English,Rare,243733,5088414
1,Dark Tutelage,Dark Tutelage,Wilds of Eldraine: Enchanting Tales,28,WOT,Normal,Near Mint,English,Uncommon,513092,7379236
1,Dead Man's Chest,Dead Man's Chest,Commander: Adventures in the Forgotten Realms,97,AFC,Normal,Near Mint,English,Rare,243932,5100289
1,Deathcap Marionette,Deathcap Marionette,The Lost Caverns of Ixalan,100,LCI,Normal,Near Mint,English,Common,526314,7549442
1,Deadly Derision,Deadly Derision,March of the Machine,99,MOM,Normal,Near Mint,English,Common,490535,7053577
1,Deal Gone Bad,Deal Gone Bad,Ravnica: Clue Edition,110,CLU,Normal,Near Mint,English,Common,534619,7695388
1,Death Tyrant,Death Tyrant,Commander: Adventures in the Forgotten Realms,23,AFC,Normal,Near Mint,English,Rare,243734,5088514
1,Deathbringer Regent,Deathbringer Regent,Commander 2021,141,C21,Normal,Near Mint,English,Rare,236413,4897116
1,Demon's Due,Demon's Due,Streets of New Capenna,75,SNC,Normal,Near Mint,English,Common,269077,5523403
1,Dire Fleet Ravager,Dire Fleet Ravager,Commander Legends: Battle for Baldur's Gate,749,CLB,Normal,Near Mint,English,Mythic,273708,5655771
1,Discerning Taste,Discerning Taste,Modern Horizons 2,82,MH2,Normal,Near Mint,English,Common,239740,4965836
1,Dockside Chef,Dockside Chef,Kamigawa: Neon Dynasty,93,NEO,Normal,Near Mint,English,Uncommon,262859,5420718
1,Dokuchi Silencer (Showcase),Dokuchi Silencer,Kamigawa: Neon Dynasty,340,NEO,Normal,Near Mint,English,Uncommon,262858,5420608
1,Dread Presence,Dread Presence,Core Set 2020,96,M20,Normal,Near Mint,English,Rare,192519,4091358
1,Dread Return,Dread Return,Time Spiral: Remastered,111,TSR,Normal,Near Mint,English,Uncommon,233874,4803316
1,Dream Spoilers,Dream Spoilers,Wilds of Eldraine,85,WOE,Normal,Near Mint,English,Uncommon,513478,7389665
1,Dreg Recycler,Dreg Recycler,March of the Machine,100,MOM,Normal,Near Mint,English,Common,491697,7084128
1,Dunland Crebain,Dunland Crebain,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,82,LTR,Normal,Near Mint,English,Common,498310,7164835
1,Duress,Duress,Duel Decks: Anthology,46,DD3,Normal,Near Mint,English,Common,93578,1265561
1,Dusk Mangler,Dusk Mangler,Streets of New Capenna,77,SNC,Normal,Near Mint,English,Uncommon,268779,5508082
1,Echoing Return,Echoing Return,Modern Horizons 2,83,MH2,Normal,Near Mint,English,Common,240203,4989030
1,Ego Drain,Ego Drain,Wilds of Eldraine,86,WOE,Normal,Near Mint,English,Uncommon,512702,7372490
